nazwa_2025;rodzaj
Uprawa zbóż innych niż ryż, roślin strączkowych i roślin oleistych na nasiona;NACE Rev. 2 class  01.11 is mapped to NACE Rev. 2.1 class  01.11
Uprawa ryżu;NACE Rev. 2 class  01.12 is mapped to NACE Rev. 2.1 class  01.12
Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych;NACE Rev. 2 class  01.13 is mapped to NACE Rev. 2.1 class  01.13
Uprawa trzciny cukrowej;NACE Rev. 2 class  01.14 is mapped to NACE Rev. 2.1 class  01.14
Uprawa tytoniu;NACE Rev. 2 class  01.15 is mapped to NACE Rev. 2.1 class  01.15
Uprawa roślin włóknistych;NACE Rev. 2 class  01.16 is mapped to NACE Rev. 2.1 class  01.16
Uprawa winogron;NACE Rev. 2 class  01.21 is mapped to NACE Rev. 2.1 class  01.21
Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych;NACE Rev. 2 class  01.22 is mapped to NACE Rev. 2.1 class  01.22
Uprawa drzew i krzewów owocowych cytrusowych;NACE Rev. 2 class  01.23 is mapped to NACE Rev. 2.1 class  01.23
Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych;NACE Rev. 2 class  01.24 is mapped to NACE Rev. 2.1 class  01.24
Uprawa pozostałych drzew i krzewów owocowych oraz orzechów;NACE Rev. 2 class  01.25 is mapped to NACE Rev. 2.1 class  01.25
Uprawa drzew oleistych;NACE Rev. 2 class  01.26 is mapped to NACE Rev. 2.1 class  01.26
Uprawa roślin wykorzystywanych do produkcji napojów;NACE Rev. 2 class  01.27 is mapped to NACE Rev. 2.1 class  01.27
Uprawa pozostałych roślin wieloletnich;NACE Rev. 2 class  01.29 is mapped to NACE Rev. 2.1 class  01.29
Rozmnażanie roślin;NACE Rev. 2 class  01.30 is mapped to NACE Rev. 2.1 class  01.30
Chów i hodowla bydła mlecznego;NACE Rev. 2 class  01.41 is mapped to NACE Rev. 2.1 class  01.41
Chów i hodowla koni i pozostałych zwierząt koniowatych;NACE Rev. 2 class  01.43 is mapped to NACE Rev. 2.1 class  01.43
Chów i hodowla wielbłądów i zwierząt wielbłądowatych;NACE Rev. 2 class  01.44 is mapped to NACE Rev. 2.1 class  01.44
Chów i hodowla owiec i kóz;NACE Rev. 2 class  01.45 is mapped to NACE Rev. 2.1 class  01.45
Chów i hodowla świń;NACE Rev. 2 class  01.46 is mapped to NACE Rev. 2.1 class  01.46
Chów i hodowla drobiu;NACE Rev. 2 class  01.47 is mapped to NACE Rev. 2.1 class  01.47
Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana);NACE Rev. 2 class  01.50 is mapped to NACE Rev. 2.1 class  01.50
Działalność usługowa wspomagająca produkcję roślinną;NACE Rev. 2 class  01.61 is mapped to NACE Rev. 2.1 class  01.61
Działalność usługowa następująca po zbiorach oraz obróbka nasion dla celów rozmnażania roślin;NACE Rev. 2 class  01.63 is mapped to NACE Rev. 2.1 class  01.63
Działalność usługowa następująca po zbiorach oraz obróbka nasion dla celów rozmnażania roślin;NACE Rev. 2 class  01.64 is mapped to NACE Rev. 2.1 class  01.63
Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową;NACE Rev. 2 class  01.70 is mapped to NACE Rev. 2.1 class  01.70
Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych;NACE Rev. 2 class  02.10 is mapped to NACE Rev. 2.1 class  02.10
Pozyskiwanie drewna;NACE Rev. 2 class  02.20 is mapped to NACE Rev. 2.1 class  02.20
Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna;NACE Rev. 2 class  02.30 is mapped to NACE Rev. 2.1 class  02.30
Działalność usługowa związana z leśnictwem;NACE Rev. 2 class  02.40 is mapped to NACE Rev. 2.1 class  02.40
Wydobywanie węgla kamiennego;NACE Rev. 2 class  05.10 is mapped to NACE Rev. 2.1 class  05.10
Wydobywanie węgla brunatnego (lignitu);NACE Rev. 2 class  05.20 is mapped to NACE Rev. 2.1 class  05.20
Górnictwo ropy naftowej;NACE Rev. 2 class  06.10 is mapped to NACE Rev. 2.1 class  06.10
Górnictwo gazu ziemnego;NACE Rev. 2 class  06.20 is mapped to NACE Rev. 2.1 class  06.20
Górnictwo rud żelaza;NACE Rev. 2 class  07.10 is mapped to NACE Rev. 2.1 class  07.10
Górnictwo rud uranu i toru;NACE Rev. 2 class  07.21 is mapped to NACE Rev. 2.1 class  07.21
Górnictwo pozostałych rud metali nieżelaznych;NACE Rev. 2 class  07.29 is mapped to NACE Rev. 2.1 class  07.29
Wydobywanie kamieni ozdobnych, wapienia, gipsu, łupków oraz pozostałych kamieni i skał;NACE Rev. 2 class  08.11 is mapped to NACE Rev. 2.1 class  08.11
Wydobywanie żwiru, piasku, gliny i kaolinu;NACE Rev. 2 class  08.12 is mapped to NACE Rev. 2.1 class  08.12
Wydobywanie minerałów dla przemysłu chemicznego oraz do produkcji nawozów;NACE Rev. 2 class  08.91 is mapped to NACE Rev. 2.1 class  08.91
Wydobywanie torfu;NACE Rev. 2 class  08.92 is mapped to NACE Rev. 2.1 class  08.92
Wydobywanie soli;NACE Rev. 2 class  08.93 is mapped to NACE Rev. 2.1 class  08.93
Pozostałe górnictwo i wydobywanie, gdzie indziej niesklasyfikowane;NACE Rev. 2 class  08.99 is mapped to NACE Rev. 2.1 class  08.99
Działalność usługowa wspomagająca eksploatację złóż ropy naftowej i gazu ziemnego;NACE Rev. 2 class  09.10 is mapped to NACE Rev. 2.1 class  09.10
Działalność usługowa wspomagająca pozostałe górnictwo i wydobywanie;NACE Rev. 2 class  09.90 is mapped to NACE Rev. 2.1 class  09.90
Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu;NACE Rev. 2 class  10.11 is mapped to NACE Rev. 2.1 class  10.11
Przetwarzanie i konserwowanie mięsa z drobiu;NACE Rev. 2 class  10.12 is mapped to NACE Rev. 2.1 class  10.12
Produkcja wyrobów z mięsa, włączając wyroby z mięsa drobiowego;NACE Rev. 2 class  10.13 is mapped to NACE Rev. 2.1 class  10.13
Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków;NACE Rev. 2 class  10.20 is mapped to NACE Rev. 2.1 class  10.20
Przetwarzanie i konserwowanie ziemniaków;NACE Rev. 2 class  10.31 is mapped to NACE Rev. 2.1 class  10.31
Produkcja soków z owoców i warzyw;NACE Rev. 2 class  10.32 is mapped to NACE Rev. 2.1 class  10.32
Pozostałe przetwarzanie i konserwowanie owoców i warzyw;NACE Rev. 2 class  10.39 is mapped to NACE Rev. 2.1 class  10.39
Produkcja olejów i pozostałych tłuszczów płynnych;NACE Rev. 2 class  10.41 is mapped to NACE Rev. 2.1 class  10.41
Produkcja margaryny i podobnych tłuszczów jadalnych;NACE Rev. 2 class  10.42 is mapped to NACE Rev. 2.1 class  10.42
Wytwarzanie wyrobów mleczarskich;NACE Rev. 2 class  10.51 is mapped to NACE Rev. 2.1 class  10.51
Produkcja lodów śmietankowych i pozostałych lodów jadalnych;NACE Rev. 2 class  10.52 is mapped to NACE Rev. 2.1 class  10.52
Wytwarzanie produktów przemiału zbóż;NACE Rev. 2 class  10.61 is mapped to NACE Rev. 2.1 class  10.61
Wytwarzanie skrobi i wyrobów skrobiowych;NACE Rev. 2 class  10.62 is mapped to NACE Rev. 2.1 class  10.62
"Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek";NACE Rev. 2 class  10.71 is mapped to NACE Rev. 2.1 class  10.71
Produkcja sucharów, herbatników, konserwowanych wyrobów ciastkarskich i ciastek;NACE Rev. 2 class  10.72 is mapped to NACE Rev. 2.1 class  10.72
Produkcja wyrobów mącznych;NACE Rev. 2 class  10.73 is mapped to NACE Rev. 2.1 class  10.73
Produkcja cukru;NACE Rev. 2 class  10.81 is mapped to NACE Rev. 2.1 class  10.81
Produkcja kakao, czekolady i wyrobów cukierniczych;NACE Rev. 2 class  10.82 is mapped to NACE Rev. 2.1 class  10.82
Przetwórstwo herbaty i kawy;NACE Rev. 2 class  10.83 is mapped to NACE Rev. 2.1 class  10.83
Produkcja przypraw;NACE Rev. 2 class  10.84 is mapped to NACE Rev. 2.1 class  10.84
Wytwarzanie gotowych posiłków i dań;NACE Rev. 2 class  10.85 is mapped to NACE Rev. 2.1 class  10.85
Produkcja pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowana;NACE Rev. 2 class  10.89 is mapped to NACE Rev. 2.1 class  10.89
Produkcja gotowej paszy dla zwierząt gospodarskich;NACE Rev. 2 class  10.91 is mapped to NACE Rev. 2.1 class  10.91
Produkcja gotowej karmy dla zwierząt domowych;NACE Rev. 2 class  10.92 is mapped to NACE Rev. 2.1 class  10.92
Destylowanie, rektyfikowanie i mieszanie alkoholi;NACE Rev. 2 class  11.01 is mapped to NACE Rev. 2.1 class  11.01
Produkcja win gronowych;NACE Rev. 2 class  11.02 is mapped to NACE Rev. 2.1 class  11.02
Produkcja cydru i pozostałych owocowych napojów fermentowanych;NACE Rev. 2 class  11.03 is mapped to NACE Rev. 2.1 class  11.03
Produkcja pozostałych niedestylowanych napojów fermentowanych;NACE Rev. 2 class  11.04 is mapped to NACE Rev. 2.1 class  11.04
Produkcja piwa;NACE Rev. 2 class  11.05 is mapped to NACE Rev. 2.1 class  11.05
Produkcja słodu;NACE Rev. 2 class  11.06 is mapped to NACE Rev. 2.1 class  11.06
Produkcja napojów bezalkoholowych i wód butelkowanych;NACE Rev. 2 class  11.07 is mapped to NACE Rev. 2.1 class  11.07
Produkcja wyrobów tytoniowych;NACE Rev. 2 class  12.00 is mapped to NACE Rev. 2.1 class  12.00
Przygotowanie i przędzenie włókien tekstylnych;NACE Rev. 2 class  13.10 is mapped to NACE Rev. 2.1 class  13.10
Wykończanie wyrobów tekstylnych;NACE Rev. 2 class  13.30 is mapped to NACE Rev. 2.1 class  13.30
Produkcja dzianin metrażowych;NACE Rev. 2 class  13.91 is mapped to NACE Rev. 2.1 class  13.91
Produkcja dywanów i chodników;NACE Rev. 2 class  13.93 is mapped to NACE Rev. 2.1 class  13.93
Produkcja wyrobów powroźniczych, lin, szpagatów i wyrobów sieciowych;NACE Rev. 2 class  13.94 is mapped to NACE Rev. 2.1 class  13.94
Produkcja włóknin i wyrobów wykonanych z włókniny;NACE Rev. 2 class  13.95 is mapped to NACE Rev. 2.1 class  13.95
Produkcja pozostałych technicznych i przemysłowych wyrobów tekstylnych;NACE Rev. 2 class  13.96 is mapped to NACE Rev. 2.1 class  13.96
Produkcja pozostałych wyrobów tekstylnych, gdzie indziej niesklasyfikowana;NACE Rev. 2 class  13.99 is mapped to NACE Rev. 2.1 class  13.99
Produkcja odzieży skórzanej i wyrobów futrzarskich;NACE Rev. 2 class  14.11 is mapped to NACE Rev. 2.1 class  14.24
Produkcja odzieży roboczej;NACE Rev. 2 class  14.12 is mapped to NACE Rev. 2.1 class  14.23
Produkcja odzieży skórzanej i wyrobów futrzarskich;NACE Rev. 2 class  14.20 is mapped to NACE Rev. 2.1 class  14.24
Produkcja odzieży dzianej;NACE Rev. 2 class  14.31 is mapped to NACE Rev. 2.1 class  14.10
Produkcja odzieży dzianej;NACE Rev. 2 class  14.39 is mapped to NACE Rev. 2.1 class  14.10
Garbowanie, barwienie, wyprawa skór i futer;NACE Rev. 2 class  15.11 is mapped to NACE Rev. 2.1 class  15.11
"Produkcja toreb bagażowych, toreb ręcznych i podobnych wyrobów kaletniczych; produkcja wyrobów rymarskich z dowolnego materiału";NACE Rev. 2 class  15.12 is mapped to NACE Rev. 2.1 class  15.12
Produkcja obuwia;NACE Rev. 2 class  15.20 is mapped to NACE Rev. 2.1 class  15.20
Produkcja masy włóknistej;NACE Rev. 2 class  17.11 is mapped to NACE Rev. 2.1 class  17.11
Produkcja papieru i tektury;NACE Rev. 2 class  17.12 is mapped to NACE Rev. 2.1 class  17.12
Produkcja papieru falistego, tektury falistej oraz opakowań z papieru i tektury;NACE Rev. 2 class  17.21 is mapped to NACE Rev. 2.1 class  17.21
Produkcja artykułów gospodarstwa domowego, toaletowych i sanitarnych;NACE Rev. 2 class  17.22 is mapped to NACE Rev. 2.1 class  17.22
Produkcja artykułów papierniczych;NACE Rev. 2 class  17.23 is mapped to NACE Rev. 2.1 class  17.23
Produkcja tapet;NACE Rev. 2 class  17.24 is mapped to NACE Rev. 2.1 class  17.24
Produkcja pozostałych wyrobów z papieru i tektury;NACE Rev. 2 class  17.29 is mapped to NACE Rev. 2.1 class  17.25
Drukowanie gazet;NACE Rev. 2 class  18.11 is mapped to NACE Rev. 2.1 class  18.11
Działalność usługowa związana z przygotowywaniem do druku;NACE Rev. 2 class  18.13 is mapped to NACE Rev. 2.1 class  18.13
Introligatorstwo i podobne usługi;NACE Rev. 2 class  18.14 is mapped to NACE Rev. 2.1 class  18.14
Reprodukcja zapisanych nośników informacji;NACE Rev. 2 class  18.20 is mapped to NACE Rev. 2.1 class  18.20
Wytwarzanie i przetwarzanie koksu;NACE Rev. 2 class  19.10 is mapped to NACE Rev. 2.1 class  19.10
Wytwarzanie i przetwarzanie produktów rafinacji ropy naftowej oraz produktów z paliw kopalnych;NACE Rev. 2 class  19.20 is mapped to NACE Rev. 2.1 class  19.20
Produkcja barwników i pigmentów;NACE Rev. 2 class  20.12 is mapped to NACE Rev. 2.1 class  20.12
Produkcja pozostałych podstawowych chemikaliów nieorganicznych;NACE Rev. 2 class  20.13 is mapped to NACE Rev. 2.1 class  20.13
Produkcja nawozów i związków azotowych;NACE Rev. 2 class  20.15 is mapped to NACE Rev. 2.1 class  20.15
Produkcja tworzyw sztucznych w formach podstawowych;NACE Rev. 2 class  20.16 is mapped to NACE Rev. 2.1 class  20.16
Produkcja kauczuku syntetycznego w formach podstawowych;NACE Rev. 2 class  20.17 is mapped to NACE Rev. 2.1 class  20.17
Produkcja pestycydów, środków dezynfekujących i pozostałych środków agrochemicznych;NACE Rev. 2 class  20.20 is mapped to NACE Rev. 2.1 class  20.20
Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających;NACE Rev. 2 class  20.30 is mapped to NACE Rev. 2.1 class  20.30
Produkcja mydła i detergentów, środków myjących i czyszczących;NACE Rev. 2 class  20.41 is mapped to NACE Rev. 2.1 class  20.41
Produkcja wyrobów kosmetycznych i toaletowych;NACE Rev. 2 class  20.42 is mapped to NACE Rev. 2.1 class  20.42
Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana;NACE Rev. 2 class  20.51 is mapped to NACE Rev. 2.1 class  20.59
Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana;NACE Rev. 2 class  20.52 is mapped to NACE Rev. 2.1 class  20.59
Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana;NACE Rev. 2 class  20.53 is mapped to NACE Rev. 2.1 class  20.59
Produkcja włókien chemicznych;NACE Rev. 2 class  20.60 is mapped to NACE Rev. 2.1 class  20.60
Produkcja podstawowych substancji farmaceutycznych;NACE Rev. 2 class  21.10 is mapped to NACE Rev. 2.1 class  21.10
Produkcja leków i pozostałych wyrobów farmaceutycznych;NACE Rev. 2 class  21.20 is mapped to NACE Rev. 2.1 class  21.20
Produkcja, bieżnikowanie i regenerowanie opon z gumy oraz produkcja dętek;NACE Rev. 2 class  22.11 is mapped to NACE Rev. 2.1 class  22.11
Produkcja szkła płaskiego;NACE Rev. 2 class  23.11 is mapped to NACE Rev. 2.1 class  23.11
Produkcja szkła gospodarczego;NACE Rev. 2 class  23.13 is mapped to NACE Rev. 2.1 class  23.13
Produkcja włókien szklanych;NACE Rev. 2 class  23.14 is mapped to NACE Rev. 2.1 class  23.14
Produkcja i obróbka pozostałego szkła, włączając szkło techniczne;NACE Rev. 2 class  23.19 is mapped to NACE Rev. 2.1 class  23.15
Produkcja wyrobów ogniotrwałych;NACE Rev. 2 class  23.20 is mapped to NACE Rev. 2.1 class  23.20
Produkcja ceramicznych kafli i płytek;NACE Rev. 2 class  23.31 is mapped to NACE Rev. 2.1 class  23.31
Produkcja cegieł, dachówek i materiałów budowlanych, z wypalanej gliny;NACE Rev. 2 class  23.32 is mapped to NACE Rev. 2.1 class  23.32
Produkcja ceramicznych wyrobów stołowych i ozdobnych;NACE Rev. 2 class  23.41 is mapped to NACE Rev. 2.1 class  23.41
Produkcja ceramicznych wyrobów sanitarnych;NACE Rev. 2 class  23.42 is mapped to NACE Rev. 2.1 class  23.42
Produkcja ceramicznych izolatorów i osłon izolacyjnych;NACE Rev. 2 class  23.43 is mapped to NACE Rev. 2.1 class  23.43
Produkcja pozostałych technicznych wyrobów ceramicznych;NACE Rev. 2 class  23.44 is mapped to NACE Rev. 2.1 class  23.44
Produkcja pozostałych wyrobów ceramicznych;NACE Rev. 2 class  23.49 is mapped to NACE Rev. 2.1 class  23.45
Produkcja cementu;NACE Rev. 2 class  23.51 is mapped to NACE Rev. 2.1 class  23.51
Produkcja wapna i gipsu;NACE Rev. 2 class  23.52 is mapped to NACE Rev. 2.1 class  23.52
Produkcja wyrobów budowlanych z betonu;NACE Rev. 2 class  23.61 is mapped to NACE Rev. 2.1 class  23.61
Produkcja wyrobów budowlanych z gipsu;NACE Rev. 2 class  23.62 is mapped to NACE Rev. 2.1 class  23.62
Produkcja masy betonowej prefabrykowanej;NACE Rev. 2 class  23.63 is mapped to NACE Rev. 2.1 class  23.63
Produkcja zaprawy murarskiej;NACE Rev. 2 class  23.64 is mapped to NACE Rev. 2.1 class  23.64
Produkcja cementu wzmocnionego włóknem;NACE Rev. 2 class  23.65 is mapped to NACE Rev. 2.1 class  23.65
Produkcja pozostałych wyrobów z betonu, cementu i gipsu;NACE Rev. 2 class  23.69 is mapped to NACE Rev. 2.1 class  23.66
Cięcie, formowanie i wykończanie kamienia;NACE Rev. 2 class  23.70 is mapped to NACE Rev. 2.1 class  23.70
Produkcja wyrobów ściernych;NACE Rev. 2 class  23.91 is mapped to NACE Rev. 2.1 class  23.91
Produkcja pozostałych wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana;NACE Rev. 2 class  23.99 is mapped to NACE Rev. 2.1 class  23.99
Produkcja surówki żelazostopów, żeliwa i stali oraz wyrobów hutniczych;NACE Rev. 2 class  24.10 is mapped to NACE Rev. 2.1 class  24.10
Produkcja rur, przewodów, kształtowników zamkniętych i łączników, ze stali;NACE Rev. 2 class  24.20 is mapped to NACE Rev. 2.1 class  24.20
Produkcja prętów ciągnionych na zimno;NACE Rev. 2 class  24.31 is mapped to NACE Rev. 2.1 class  24.31
Produkcja wyrobów płaskich walcowanych na zimno;NACE Rev. 2 class  24.32 is mapped to NACE Rev. 2.1 class  24.32
Produkcja wyrobów formowanych na zimno;NACE Rev. 2 class  24.33 is mapped to NACE Rev. 2.1 class  24.33
Produkcja drutu;NACE Rev. 2 class  24.34 is mapped to NACE Rev. 2.1 class  24.34
Produkcja metali szlachetnych;NACE Rev. 2 class  24.41 is mapped to NACE Rev. 2.1 class  24.41
Produkcja aluminium;NACE Rev. 2 class  24.42 is mapped to NACE Rev. 2.1 class  24.42
Produkcja ołowiu, cynku i cyny;NACE Rev. 2 class  24.43 is mapped to NACE Rev. 2.1 class  24.43
Produkcja miedzi;NACE Rev. 2 class  24.44 is mapped to NACE Rev. 2.1 class  24.44
Produkcja pozostałych metali nieżelaznych;NACE Rev. 2 class  24.45 is mapped to NACE Rev. 2.1 class  24.45
Wytwarzanie paliw jądrowych;NACE Rev. 2 class  24.46 is mapped to NACE Rev. 2.1 class  24.46
Odlewnictwo żeliwa;NACE Rev. 2 class  24.51 is mapped to NACE Rev. 2.1 class  24.51
Odlewnictwo staliwa;NACE Rev. 2 class  24.52 is mapped to NACE Rev. 2.1 class  24.52
Odlewnictwo pozostałych metali nieżelaznych;NACE Rev. 2 class  24.54 is mapped to NACE Rev. 2.1 class  24.54
Produkcja konstrukcji metalowych i ich części;NACE Rev. 2 class  25.11 is mapped to NACE Rev. 2.1 class  25.11
Produkcja drzwi i okien z metalu;NACE Rev. 2 class  25.12 is mapped to NACE Rev. 2.1 class  25.12
Produkcja grzejników centralnego ogrzewania, wytwornic pary i kotłów;NACE Rev. 2 class  25.21 is mapped to NACE Rev. 2.1 class  25.21
Produkcja pozostałych zbiorników, cystern i pojemników metalowych;NACE Rev. 2 class  25.29 is mapped to NACE Rev. 2.1 class  25.22
Produkcja grzejników centralnego ogrzewania, wytwornic pary i kotłów;NACE Rev. 2 class  25.30 is mapped to NACE Rev. 2.1 class  25.21
Produkcja broni i amunicji;NACE Rev. 2 class  25.40 is mapped to NACE Rev. 2.1 class  25.30
Kucie i formowanie metali oraz metalurgia proszków;NACE Rev. 2 class  25.50 is mapped to NACE Rev. 2.1 class  25.40
Obróbka mechaniczna elementów metalowych;NACE Rev. 2 class  25.62 is mapped to NACE Rev. 2.1 class  25.53
Produkcja wyrobów nożowniczych i sztućców;NACE Rev. 2 class  25.71 is mapped to NACE Rev. 2.1 class  25.61
Produkcja zamków i zawiasów;NACE Rev. 2 class  25.72 is mapped to NACE Rev. 2.1 class  25.62
